player_name,season,pts
Lamar Odom,2000-01,17.2
Elton Brand,2001-02,18.2
Corey Maggette,2002-03,16.8
Elton Brand,2002-03,18.5
Corey Maggette,2003-04,20.7
Elton Brand,2003-04,20.0
Quentin Richardson,2003-04,17.2
Bobby Simmons,2004-05,16.4
Corey Maggette,2004-05,22.2
Elton Brand,2004-05,20.0
Elton Brand,2005-06,24.7
Sam Cassell,2005-06,17.2
Corey Maggette,2006-07,16.9
Elton Brand,2006-07,20.5
Chris Kaman,2007-08,15.7
Corey Maggette,2007-08,22.1
Al Thornton,2008-09,16.8
Eric Gordon,2008-09,16.1
Zach Randolph,2008-09,20.8
Baron Davis,2009-10,15.3
Chris Kaman,2009-10,18.5
Eric Gordon,2009-10,16.9
Blake Griffin,2010-11,22.5
Eric Gordon,2010-11,22.3
Blake Griffin,2011-12,20.7
Chris Paul,2011-12,19.8
Blake Griffin,2012-13,18.0
Chris Paul,2012-13,16.9
Jamal Crawford,2012-13,16.5
Blake Griffin,2013-14,24.1
Chris Paul,2013-14,19.1
Jamal Crawford,2013-14,18.6
Blake Griffin,2014-15,21.9
Chris Paul,2014-15,19.1
JJ Redick,2014-15,16.4
Jamal Crawford,2014-15,15.8
Chris Paul,2015-16,19.5
JJ Redick,2015-16,16.3
Blake Griffin,2016-17,21.6
Chris Paul,2016-17,18.1
JJ Redick,2016-17,15.0
Austin Rivers,2017-18,15.1
Lou Williams,2017-18,22.6
Tobias Harris,2017-18,18.6
Danilo Gallinari,2018-19,19.8
Lou Williams,2018-19,20.0
Montrezl Harrell,2018-19,16.6
Kawhi Leonard,2019-20,27.1
Lou Williams,2019-20,18.2
Marcus Morris Sr.,2019-20,16.7
Montrezl Harrell,2019-20,18.6
Paul George,2019-20,21.5
Kawhi Leonard,2020-21,24.8
Paul George,2020-21,23.3
Marcus Morris Sr.,2021-22,15.4
Norman Powell,2021-22,19.0
Reggie Jackson,2021-22,16.8
Kawhi Leonard,2022-23,23.8
Norman Powell,2022-23,17.0
Paul George,2022-23,23.8
Russell Westbrook,2022-23,15.9
James Harden,2023-24,16.6
Kawhi Leonard,2023-24,23.7
Paul George,2023-24,22.6
Ivica Zubac,2024-25,16.8
James Harden,2024-25,22.8
Norman Powell,2024-25,21.8
